date,claude_code,cursor,github_copilot,windsurf,codex_cli,antigravity,gemini_cli,aider,chatgpt,claude_ai
2026-03-18,83,88,90,73,70,68,58,67,97,80
2026-03-19,84,87,90,74,71,67,59,67,97,81
2026-03-20,84,87,90,74,72,66,59,68,98,81
2026-03-21,85,87,89,75,72,65,60,68,98,82
2026-03-22,85,87,90,75,72,64,60,68,98,82
2026-03-23,85,87,90,75,72,63,60,68,98,82
2026-03-24,85,87,90,75,72,62,60,68,98,82
2026-03-25,86,86,90,75,72,61,61,68,98,83
2026-03-26,87,87,89,75,72,60,61,68,97,84
2026-03-27,87,87,89,75,72,59,61,68,97,84
